legacyCategory,legacyId,sourceCompanyName,displayName,url,logo,showHide,hideReason,parentLegacyId,desc,primarySector,secondarySector,tertiarySector,quaternarySector,quinarySector,senarySector
Apparel,12939,Proximus,Proximus,http://proximus.be,,Show,,12939,,Telecommunications Service Providers,,,,,
Apparel,12941,Raiffeisen Bank International AG,Raiffeisen Bank International AG,http://rbinternational.com,,Show,,12941,,Commercial Banking,,,,,
Apparel,12942,"Rakuten,Inc.",Rakuten,https://global.rakuten.com/corp/,,Show,,12942,Online retailing company,Department Stores,,,,,
Apparel,12943,Red Electrica S.A.U,Red Electrica S.A.U,http://ree.es,,Category,,12943,,Energy,,,,,
Apparel,12944,"Ricoh Co., Ltd.",Ricoh Co.,http://ricoh.com,,Show,,12944,Check,Art & Digital Media,,,,,
Apparel,12945,Robert Bosch GmbH,Robert Bosch GmbH,http://bosch.com,,Show,,12945,,"Architecture, Engineering & Design",,,,,
Apparel,12946,Royal BAM Group nv,Royal BAM Group nv,http://bam.com,,Show,,12946,Check,Construction,,,,,
Apparel,12947,S Group,S Group,https://s-ryhma.fi/en,,Show,,12947,"network of companies in the retail and service sectors,",Retail,,,,,
Apparel,12948,"Samsung Electro-Mechanics Co., Ltd.",Samsung Electro-Mechanics Co.,http://samsungsem.com,,Category,,12948,,Semiconductors & Equipment,,,,,
Apparel,12949,SAP SE,SAP SE,https://www.sap.com/index.html,,Show,,12949,especially known for its enterprise resource planning software.,Software,,,,,
Apparel,12950,Scatec Solar,Scatec Solar,http://scatec.com,,Show,,12950,renewables,Energy Equipment & Services,,,,,
Apparel,12951,Schneider Electric,Schneider Electric,http://www2.schneider-electric.com,,Show,,12951,providing energy and automation digital solutions for efficiency and sustainability,Software,Hardware,Construction & Related Materials,,,
Travel Services,17583,APC,APC,apc.com,https://brandslogos.com/wp-content/uploads/images/large/apc-logo.png,Show,,12951,,Software,Hardware,Construction & Related Materials,,,
Travel Services,17584,ASCO Power Technologies,ASCO Power Technologies,ascopower.com,,Category,,12951,,Semiconductors & Equipment,,,,,
Apparel,12952,Seagate Technology PLC,Seagate Technology,http://seagate.com,,Show,,12952,,Cloud Services,,,,,
Apparel,12955,Shinhan Financial Group,Shinhan Financial Group,http://shinhangroup.com,,Show,,12955,Insurance Carriers,Insurance Carriers,,,,,
Apparel,12956,Siemens Gamesa Renewable Energy SA,Siemens Gamesa Renewable Energy SA,https://www.siemensgamesa.com/en-int,,Show,,12956,Check,Energy Equipment & Services,,,,,
Apparel,12957,Signature Aviation,Signature Aviation,http://signatureaviation.com,,Show,,12957,unsure if airline o rjuat support,Transportation Services,,,,,
Apparel,12958,Signify NV,Signify NV,https://www.signify.com/en-us,,Show,,12958,Parent company that owns subsidiaries like Phillips that sells lighting products,Household Appliances,Home Decor,,,,
Travel Services,17585,Philips,Philips,philips.com,https://1000logos.net/wp-content/uploads/2017/05/Philips-logo.jpg,Show,,12958,Company that sells goods in various tiers,Household Appliances,Oral care,"Electronics, Gadgets & Accessories",Skincare,,
Travel Services,17586,Interact,Interact,interact-lighting.com,,Category,,12958,,Basic Resources,,,,,
