original,companyName,_id
Kfc,KFC,6204f6e6d1029e9462b2a26b
H&M0206,H&M,6204f6e6d1029e9462b2a39b
H&M0342,H&M,6204f6e6d1029e9462b2a39b
H&M,H&M,6204f6e6d1029e9462b2a39b
Levis,Levi's,6204f6e6d1029e9462b2a39f
LEVIS.COM,Levi's,6204f6e6d1029e9462b2a39f
Public,Public.,6204f6e8d1029e9462b2a7bb
Redbox,Redbox,6204f6e8d1029e9462b2a7ef
PepsiCo,PepsiCo Inc,6204f6e9d1029e9462b2a9af
It Cosmetics,IT Cosmetics,6204f6eed1029e9462b2ba4b
Shaws,Shaws,6204f6eed1029e9462b2bc1f
Mosaic,Mosaic Group,6204f6efd1029e9462b2bea3
Vigilante,Vigilant,6204f6efd1029e9462b2bf2b
Panerabread,Panera Bread,6204f6efd1029e9462b2c07b
Cinnabon,Cinnabon,6204f6efd1029e9462b2c083
Mega Limited,MEGA,6204f6efd1029e9462b2c107
