"companyName","_id"
"MSCI","620ab76d4aaeb67237a37d63"
"Microsoft","620ab76d4aaeb67237a37d67"
"Motorola Solutions, Inc.","620ab76d4aaeb67237a37d6b"
"Madison Square Garden Entertainment Corp.","620ab76d4aaeb67237a37d6f"
"Madison Square Garden Sports","620ab76d4aaeb67237a37d73"
"MSC Industrial Direct Co., Inc.","620ab76d4aaeb67237a37d77"
"M&T Bank","620ab76d4aaeb67237a37d7b"
"Match Group","620ab76e4aaeb67237a37d7f"
"Vail Resorts Inc","620ab76e4aaeb67237a37d83"
"Noble Energy Inc","620ab76e4aaeb67237a37d87"
"Netflix Inc","620ab76e4aaeb67237a37d8b"
"MGIC","620ab76e4aaeb67237a37d8f"
"Murphy Oil Corporation","620ab76e4aaeb67237a37d93"
"Norwegian Cruise Line Holdings Ltd.","620ab76e4aaeb67237a37d97"
"Nasdaq","620ab76e4aaeb67237a37d9b"
"Cloudflare","620ab76e4aaeb67237a37d9f"
"National Fuel","620ab76e4aaeb67237a37da3"
"NCR","620ab76e4aaeb67237a37da7"
"New Relic, Inc.","620ab76e4aaeb67237a37dab"
"NiSource","620ab76e4aaeb67237a37daf"
"Nielsen","620ab76e4aaeb67237a37db3"
"Nike","620ab76e4aaeb67237a37db7"
"NortonLifeLock, Inc.","620ab76e4aaeb67237a37dbb"
"ServiceNow, Inc.","620ab76f4aaeb67237a37dbf"
"Norfolk Southern","620ab76f4aaeb67237a37dc3"
"NRG Energy","620ab76f4aaeb67237a37dc7"
"NextEra Energy Resources","620ab76f4aaeb67237a37dcb"
"Nutanix, Inc.","620ab76f4aaeb67237a37dcf"
"NetApp, Inc.","620ab76f4aaeb67237a37dd3"
"Northern Trust","620ab76f4aaeb67237a37dd7"
"Nuance Communications","620ab76f4aaeb67237a37ddb"
"NVR Inc","620ab76f4aaeb67237a37ddf"
"Nu Skin Enterprises Inc","620ab76f4aaeb67237a37de3"
"News Corp","620ab76f4aaeb67237a37de7"
"New York Community Bancorp Inc","620ab76f4aaeb67237a37deb"
"The New York Times Company","620ab76f4aaeb67237a37def"
"Owens Corning","620ab76f4aaeb67237a37df3"
"Nexstar Media Group","620ab76f4aaeb67237a37df7"
"Old Dominion Freight Line","620ab7704aaeb67237a37dfb"
"ONEOK, Inc.","620ab7704aaeb67237a37dff"
"Omnicom Group Inc","620ab7704aaeb67237a37e03"
"OneMain Financial","620ab7704aaeb67237a37e07"
"Oracle","620ab7704aaeb67237a37e0b"
"Okta Inc","620ab7704aaeb67237a37e0f"
"Ollie's","620ab7704aaeb67237a37e13"
"Otis Worldwide Corporation","620ab7704aaeb67237a37e17"
"O'Reilly Automotive Inc","620ab7704aaeb67237a37e1b"
"Occidental","620ab7704aaeb67237a37e1f"
"Old Republic","620ab7704aaeb67237a37e23"
"Pacific Western Bank","620ab7704aaeb67237a37e27"
"Penske Cars","620ab7704aaeb67237a37e2b"
"Paychex Inc","620ab7704aaeb67237a37e2f"
"Paycom","620ab7704aaeb67237a37e33"
"Prosperity Bank","620ab7704aaeb67237a37e37"
"Peoples United Bank","620ab7714aaeb67237a37e3b"
"Paylocity Holding Corporation","620ab7714aaeb67237a37e3f"
"PG&E","620ab7714aaeb67237a37e43"
"Palo Alto Networks","620ab7714aaeb67237a37e47"
"PagerDuty, Inc.","620ab7714aaeb67237a37e4b"
"Principal","620ab7714aaeb67237a37e4f"
"Pegasystems, Inc.","620ab7714aaeb67237a37e53"
"Public Service Enterprise Group","620ab7714aaeb67237a37e57"
"Proofpoint, Inc.","620ab7714aaeb67237a37e5b"
"Progressive","620ab7714aaeb67237a37e5f"
"Pinterest","620ab7714aaeb67237a37e63"
"PulteGroup, Inc.","620ab7714aaeb67237a37e67"
"Anaplan, Inc.","620ab7714aaeb67237a37e6b"
"Premier, Inc.","620ab7714aaeb67237a37e6f"
"Planet Fitness","620ab7714aaeb67237a37e73"
"Pinnacle West","620ab7724aaeb67237a37e77"
"Prudential","620ab7724aaeb67237a37e7b"
