companyName,companyId,parentName,parentId,removeParent,notes
Panera Bread,621b99f25f87e75f53661391,,,TRUE,"currently has Dr. Pepper listed as parent, want no parent"
Margaritaville,621b99f25f87e75f53661365,,,TRUE,"currently has Dr. Pepper listed as parent, want no parent"
TAZO,621b99bb5f87e75f5365f365,Unilever plc,621b996c5f87e75f5365c53d,,"currently owned by starbucks, now owned by unilever"
Cinnabon,621b99f35f87e75f536613bd,,,TRUE,"currently has Dr. Pepper listed as parent, want no parent"
Vitacoco,621b99f25f87e75f53661371,,,TRUE,"currently has Dr. Pepper listed as parent, want no parent"
Peets Coffee,621b99f25f87e75f53661359,,,TRUE,"currently has Dr. Pepper listed as parent, want no parent"
Caribou Coffee,621b99f25f87e75f5366131d,,,TRUE,"currently has Dr. Pepper listed as parent, want no parent"
7 For All Mankind,62deed637b212526d1e0100f,Delta Galil,62deed947b212526d1e01634,,
Boost,62deeec87b212526d1e03148,Nestle,62deed917b212526d1e015dc,,
Buitoni,62deeec87b212526d1e0314d,Nestle,62deed917b212526d1e015dc,,
Coffee-Mate,62deeec87b212526d1e03152,Nestle,62deed917b212526d1e015dc,,
DiGiorno,62deeec87b212526d1e03158,Nestle,62deed917b212526d1e015dc,,
Dreyer's,62deeec87b212526d1e0315d,Nestle,62deed917b212526d1e015dc,,
Hot Pockets,62deeec87b212526d1e03163,Nestle,62deed917b212526d1e015dc,,
HÃ¤agen-Dazs,62deeec87b212526d1e03168,Nestle,62deed917b212526d1e015dc,,
Jack's,62deeec87b212526d1e0316e,Nestle,62deed917b212526d1e015dc,,
KitKat,62deeec87b212526d1e03173,Nestle,62deed917b212526d1e015dc,,
Milo,62deeec97b212526d1e03179,Nestle,62deed917b212526d1e015dc,,
NescafÃ©,62deeec97b212526d1e0317e,Nestle,62deed917b212526d1e015dc,,
NestlÃ© Ice Cream,62deeec97b212526d1e03184,Nestle,62deed917b212526d1e015dc,,
Purina,62deeec97b212526d1e0318a,Nestle,62deed917b212526d1e015dc,,
Smarties,62deeec97b212526d1e0318f,Nestle,62deed917b212526d1e015dc,,
Hollister,62deeec97b212526d1e03194,Abercrombie & Fitch,62deed637b212526d1e01014,,
Social Tourist,62deeec97b212526d1e0319a,Abercrombie & Fitch,62deed637b212526d1e01014,,
Gilly Hicks,62deeeca7b212526d1e031a0,Abercrombie & Fitch,62deed637b212526d1e01014,,
Wrangler,62deeeca7b212526d1e031a6,Kontoor Brands,62deed677b212526d1e01055,,
Lee,62deeeca7b212526d1e031ac,Kontoor Brands,62deed677b212526d1e01055,,
UGG,62deeeca7b212526d1e031b2,Deckers Outdoor,62deed647b212526d1e01027,,
Koolaburra by Ugg,62deeeca7b212526d1e031b8,Deckers Outdoor,62deed647b212526d1e01027,,
HOKA,62deeeca7b212526d1e031be,Deckers Outdoor,62deed647b212526d1e01027,,
Teva,62deeecb7b212526d1e031c4,Deckers Outdoor,62deed647b212526d1e01027,,
Sanuk,62deeecb7b212526d1e031ca,Deckers Outdoor,62deed647b212526d1e01027,,
The Laughing Cow,62deef097b212526d1e03cac,Bel Brands USA,62deef087b212526d1e03ca6,,
Babybel,62deef097b212526d1e03cb2,Bel Brands USA,62deef087b212526d1e03ca6,,
Boursin,62deef0c7b212526d1e03cb8,Bel Brands USA,62deef087b212526d1e03ca6,,
Kaukauna,62deef0c7b212526d1e03cbe,Bel Brands USA,62deef087b212526d1e03ca6,,
Merkts,62deef0c7b212526d1e03cc4,Bel Brands USA,62deef087b212526d1e03ca6,,
Price's,62deef0d7b212526d1e03cca,Bel Brands USA,62deef087b212526d1e03ca6,,
Owl's Nest,62deef0d7b212526d1e03cd0,Bel Brands USA,62deef087b212526d1e03ca6,,
Dandies Vegan Marshmallows,62deef0d7b212526d1e03cdb,Chicago Vegan Foods,62deef0d7b212526d1e03cd6,,
Temptation Vegan Soft Serve,62deef0d7b212526d1e03ce0,Chicago Vegan Foods,62deef0d7b212526d1e03cd6,,
Temptation Vegan Frozen Dessert,62deef0d7b212526d1e03ce6,Chicago Vegan Foods,62deef0d7b212526d1e03cd6,,
Teese Vegan Cheese,62deef0d7b212526d1e03cec,Chicago Vegan Foods,62deef0d7b212526d1e03cd6,,
Field Roast,62deef0d7b212526d1e03cf7,Greenleaf Foods,62deef0d7b212526d1e03cf2,,
Lightlife,62deef0d7b212526d1e03cfe,Greenleaf Foods,62deef0d7b212526d1e03cf2,,
Activia,62deef0e7b212526d1e03d03,Danone,621b99695f87e75f5365c3c5,,
Dannon,62deef0e7b212526d1e03d08,Danone,621b99695f87e75f5365c3c5,,
Danimals,62deef0e7b212526d1e03d0d,Danone,621b99695f87e75f5365c3c5,,
Horizon Organic,62deef0e7b212526d1e03d12,Danone,621b99695f87e75f5365c3c5,,
International Delight,62deef0f7b212526d1e03d17,Danone,621b99695f87e75f5365c3c5,,
Light and Fit,62deef0f7b212526d1e03d1d,Danone,621b99695f87e75f5365c3c5,,
Oikos,62deef0f7b212526d1e03d22,Danone,621b99695f87e75f5365c3c5,,
Silk,62deef0f7b212526d1e03d27,Danone,621b99695f87e75f5365c3c5,,
So Delicious Dairy Free,62deef0f7b212526d1e03d2d,Danone,621b99695f87e75f5365c3c5,,
Stok Brew,62deef107b212526d1e03d33,Danone,621b99695f87e75f5365c3c5,,
Vega,62deef107b212526d1e03d39,Danone,621b99695f87e75f5365c3c5,,
Wallaby Yogurt,62deef107b212526d1e03d3f,Danone,621b99695f87e75f5365c3c5,,
Yo Crunch,62deef117b212526d1e03d44,Danone,621b99695f87e75f5365c3c5,,
Yo Cream,62deef117b212526d1e03d49,Danone,621b99695f87e75f5365c3c5,,
Brookside,62deef147b212526d1e03dc9,The Hershey Company,621b99cb5f87e75f5365fca9,,
The Giant Company,62deef187b212526d1e03e99,Ahold Delhaize USA,62def10b7b212526d1e05ad7,,
Giant Food,62deef187b212526d1e03ea0,Ahold Delhaize USA,62def10b7b212526d1e05ad7,,
Nespresso,62deef1f7b212526d1e03fd0,Nestle,62deed917b212526d1e015dc,,
