name,url,notes,,,No Poverty,_1_1,_1_2,_1_3,_1_4,_1_5,_1_a,_1_b,Zero Hunger,_2_1,_2_2,_2_3,_2_4,_2_5,_2_a,_2_b,_2_c,Good Health and Well-Being,_3_1,_3_2,_3_3,_3_4,_3_5,_3_6,_3_7,_3_8,_3_9,_3_a,_3_b,_3_c,_3_d,Quality Education,_4_1,_4_2,_4_3,_4_4,_4_5,_4_6,_4_7,_4_a,_4_b,_4_c,Gender Equality,_5_1,_5_2,_5_3,_5_4,_5_5,_5_6,_5_a,_5_b,_5_c,Clean Water and Sanitation,_6_1,_6_2,_6_3,_6_4,_6_5,_6_6,_6_a,_6_b,Affordable and Clean Energy,_7_1,_7_2,_7_3,_7_a,_7_b,Decent Work and Economic Growth,_8_1,_8_2,_8_3,_8_4,_8_5,_8_6,_8_7,_8_8,_8_9,_8_1,_8_a,_8_b,"Industry, Innovation and Infrastructure",_9_1,_9_2,_9_3,_9_4,_9_5,_9_a,_9_b,_9_c,Reduced Inequalities,_10_1,_10_2,_10_3,_10_4,_10_5,_10_6,_10_7,_10_a,_10_b,_10_c,Sustainable Cities and Communities,_11_1,_11_2,_11_3,_11_4,_11_5,_11_6,_11_7,_11_a,_11_b,_11_c,Responsible Consumption and Production,_12_1,_12_2,_12_3,_12_4,_12_5,_12_6,_12_7,_12_8,_12_a,_12_b,_12_c,Climate Action,_13_1,_13_2,_13_3,_13_a,_13_b,Life Below Water,_14_1,_14_2,_14_3,_14_4,_14_5,_14_6,_14_7,_14_a,_14_b,_14_c,Life on Land,_15_1,_15_2,_15_3,_15_4,_15_5,_15_6,_15_7,_15_8,_15_9,_15_a,_15_b,_15_c,"Peace, Justice and Strong Institutions",_16_1,_16_2,_16_3,_16_4,_16_5,_16_6,_16_7,_16_8,_16_9,_16_1,_16_a,_16_b,Partnerships for the Goals,_17_9
Responsible Jewellery Council,https://www.responsiblejewellery.com/membership/find-an-rjc-member/?bycountry=United%20States%20of%20America&rjccategories=8396&rjccertification=&searchbox=&pagenum=1,Permission: No Response,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,,,,,0.5,,0.5,,,,0.5,,,,,,,0.5,0.5,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,0.5,,,,0.5,,,,,,,0.5,,0.5,,,0.5,0.5,,,,,,,,,,,,0.5,0.5,,,,,,,,,,0.5,0.5,,,,,,,,,,,,0.5,,,,0.5,0.5,,,,,,,,,
BCI - Better Cotton Initiative,https://bettercotton.org/membership/find-members/?_sft_member_country=united-states&_sft_member_categories=retailers-and-brands,Permission: No Response,,,0.5,0.5,,0.5,,,,,,,,,,,,,,0.5,,,0.5,,,,,0.5,0.5,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,0.5,,,,,0.5,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,0.5,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,
RDS (Responsible Down Standard),https://textileexchange.org/standards/find-certified-company/rds-certified/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women Owned Directory,https://www.womenownedlogo.com/full-list,Permission: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Based Foods Association,https://www.plantbasedfoods.org/members/companies/,Permission: No Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainforest Alliance Certified,https://www.rainforest-alliance.org/find-certified/?fwp_by_consumer_location=united-states,Permission: Responded by asking what is required to be featured but did not respond further,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,1,,1,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,
RE100,https://www.there100.org/our-publications,Permission: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethical Trading Initiative(ETI),https://www.ethicaltrade.org/about-eti/our-members#member-list,Permission: No Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leather Working Group(LWG),https://www.leatherworkinggroup.com/join-us/our-members?t=Brands,Permission: No Response,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,0.5,,,,,,,,,,,0.5,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,0.5,,,,,,0.5,0.5,,,,,0.5,0.5,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5
B List CDP - Climate Change ,https://www.cdp.net/en/companies/companies-scores#446647786929955804cc9a3a08ef1eb4,Permission: Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,0.5,,0.5,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,
