"transactionId","acceptorName"
"65e0931d83da16405f9b7b2d","WWW.ATM.IT - APP MOBILE"
"65e0967e83da16405f9b8214","LINO LAKES TOBACCO 1 LLC"
"65e0cc737a7231c7a04fa860","ANY LAB TEST NOW INDEPEND"
"65e0cda27a7231c7a04fa94c","GOOGLE *TEMPORARY HOLD"
"65e0cdf02492fb06f4be45a7","GOOGLE *TEMPORARY HOLD"
"65e123587a7231c7a0534627","TST* JAVELINA - UNION SQU"
"65e1f480bd122161740da1d4","DUTCH BROS UT0302 MURRAY"
"65e300a30442661319ef9129","KASHMIR WATCH CO"
"65e34d04bd122161741df4e3","QT 184 INSIDE"
"65e350cbbd122161741df957","*ORINDA BASEBALL"
"65e3547b0442661319f28cbf","*ORINDA BASEBALL"
"65e355390442661319f28deb","*ORINDA BASEBALL"
"65e35d2bbd122161741f7173","*ORINDA BASEBALL"
"65e36454bd122161741f71e4","BJS WHOLESALE #3 13585 NE"
"65e374c80442661319f47b94","*ORINDA BASEBALL"
"65e3784b0442661319f50736","DELHI AIRPORT PARKING S"
"65e37f570442661319f53ad0","TARGET T-2300"
"65e38132bd122161742157ec","TARGET T-2300"
"65e38869bd12216174216455","CROWN PLAZA OKHLA FO 3"
"65e389180442661319f54ed7","TOBACCO PLUS MINI MART"
"65e390a9bd12216174225a7e","XSOLLA *SCSTORE"
"65e39fc9bd122161742327a1","KKAP LLC"
"65e3a0ff0442661319f6be9f","BOMBAY CENTRAL"
"65e3a630bd12216174235b14","D' LARA MEDITERR"
"65e3a6c8bd12216174235b5e","D' LARA MEDITERR"
"65e3eb330442661319f95b5d","Johnny Rockets"
"65e3f73b0442661319fa16a7","WWW.ALOSIM.COM"
"65e4c3e9044266131906d653","TARGET T-0305"
"65e4ca050442661319073112","NORSE BREWING CO"
"65e4ca0e0442661319073155","NORSE BREWING CO"
"65e4e392bd1221617432f78b","22010- GREENWICH"
"65e58997bd122161743985cb","RAZ*Archaeological Surv"
"65e5cc6b04426613190f68a6","+OKHLA PHASE I"
"65e5d7bb04426613190fae6c","SEDA FRANCE"
"65e5e1e004426613190fd525","CROWN PLAZA OKHLA IRD"
"65e601910442661319104c88","SP HARMONY FOLIAGE"
"65e60de90442661319107543","F256 DAREDEVILS BAR AIRPO"
"65e60fce0442661319113391","TRAVEL NEWS SERVICES I"
"65e6269abd122161743e94fa","TRAVEL FOOD SERVICES D"
"65e72a4604426613191d2c96","QT 184 INSIDE"
"65e7692704426613191eea9a","NST THE HOME DEPOT 000703"
"65e76a5fbd122161744c29d4","CITGO TRAVEL MART DE"
"65e7781a04426613191f1ca7","PLUCKERS-STAFFORD-RET"
"65e7840b04426613191f8600","BP#1710060HASTY MART # 5"
"65e79f6abd122161744d804a","DELTA INTERNET DELTA.COM"
"65e83c7fbd1221617454c52e","LIGHT CAFE'"
"65e8645d0442661319287294","AMI POKE'"
"65e8a45604426613192a4753","STAGE STAR DELI"
"65e8be4cbd1221617459e0d8","JOSEPH RISTORANTE"
"65e8cd9a2b8b63e428feb325","SQ *JUST ORGANIC JUICE"
"65e8ee894e77d342c10d6e95","TARGET T-1885"
"65e962da4e77d342c1117157","CURB MOBILITY"
"65e9b1742b8b63e428045ecf","SHEETZ 2555"
"65e9fb9df9774893794cdbb6","TST* LAKEWOOD SOCIAL NEW"
"65ea1b0ec78429a6db4074d2","SQ *BLUE BOTTLE COFFEE"
"65ea2131c78429a6db407b3e","GATE 1421"
"65ea24a5f9774893794f9387","CRACKER BARREL #500 JENSE"
"65ea3568c78429a6db426d22","CUB FOODS #30124"
"65ea5e69c78429a6db42feb5","ROLLICIOUS"
"65eba98ac78429a6db4e28dc","HARRIS TEETER #0 4093 DAV"
"65ec754bf97748937960a472","TARGET T-1352"
"65ec9573c78429a6db535b58","EGIFT CARD888 267 0447"
"65eca8b9c78429a6db53fc78","CUB FOODS #30124"
"65ecc420f97748937963bcfc","PIM"
"65ecd088c78429a6db550145","RDUAA ONLINE PARKING"
"65ed2b9ac78429a6db564899","SHEETZ 0555"
"65eddec5c78429a6db59b15c","QT 184 INSIDE"
"65ede32cf97748937968d84c","PARTY CITY 627"
"65edffbbc78429a6db5a9464","EXXON SAMS XPRESS CAR WAS"
"65ee3609f9774893796b9878","NNT GOODWILL MINNET001957"
"65ee450cf9774893796bb832","PY *TOWER TAVERN - MO"
"65eefa47f9774893796e0849","SHEETZ 0555"
"65ef221fc78429a6db5fadd9","QT 184 INSIDE"
"65ef295af9774893796e5446","PANERA BREAD #601938 P"
"65ef2c2ff9774893796e54b0","PRET A MANGER US0004"
"65ef6a4df9774893796fe813","Sun Tan City 0398"
"65efa2d0c78429a6db62240d","HIGHLAND NAIL BAR"
"65efbbe3c78429a6db62a138","AT *MOMA"
"65efc139f97748937972b117","TARGET T-1784"
"65efc146c78429a6db62c386","TARGET T-1784"
"65efc1c9c78429a6db62c63d","TARGET T-1784"
