ticker,legacyId,companyName,justCapital_metric_Workforce Demographics,justCapital_metric_Health and Safety Policies,justCapital_metric_Local Employment Pipeline,justCapital_metric_Worker Benefits Package,justCapital_metric_Human Rights Reporting,justCapital_metric_Labor & Human Rights Commitment,justCapital_metric_Work-Life Balance,justCapital_metric_Actions to Support Human Rights Commitment,justCapital_metric_Supplier Requirements on Labor & Human Rights,justCapital_metric_Opportunities for Local Businesses,justCapital_metric_Human Rights Supply Chain Safeguards,justCapital_metric_Local School Support,justCapital_metric_Related Party Transactions,justCapital_metric_Board Diversity,justCapital_metric_SEC Filings Review,justCapital_metric_Commitment to Following Laws & Regulations,justCapital_metric_Privacy Policies,justCapital_metric_Sustainable Products and Services,justCapital_metric_Local Community Engagement,justCapital_metric_Scope 1 Plus 2 Greenhouse Gas Emissions,justCapital_metric_Renewable Energy Percentage_0.5,justCapital_metric_Renewable Energy Percentage_1,"justCapital_metric_Diversity, Equity, and Inclusion Policies",justCapital_metric_Transparent Charitable Giving,justCapital_metric_Resource Use,justCapital_metric_Climate Commitments
CPB,10200,Campbell Soup Company,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,,1,1,0,1
COUP,10199,Coupa Software Incorporated,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,,0,0,0,0
COTY,10198,Coty Inc,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,,1,0,0,1
COST,10197,Costco Wholesale Corp,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,,1,1,1,0
COP,10196,ConocoPhillips,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,,0,1,0,1
COO,10195,"The Cooper Companies, Inc.",0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,,1,1,0,0
COMM,10194,"CommScope Holding Company, Inc.",0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,,1,0,1,0
COLM,10193,Columbia Sportswear Company,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,,0,1,0,0
COLD,10192,Americold Realty Trust,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,,1,0,0,0
COHR,10191,Coherent Inc,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,,0,0,0,0
COF,10189,Capital One Financial Corporation,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,,1,1,1,0,1
CNP,10188,CenterPoint Energy Inc,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,,0,1,1,1
CNC,10187,Centene Corp,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,,0,0,0,0
CNA,10186,CNA Financial Corp,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,,0,0,0,0
CMS,10185,CMS Energy Corp,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,,0,1,0,1
CMI,10184,Cummins Inc,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,,1,1,1,1
CMG,10183,Chipotle Mexican Grill Inc,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,,1,1,0,0
CME,10182,CME Group Inc,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,,0,1,0,0
CMCSA,10181,Comcast Corp,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,,0,0,0,1
CMA,10180,Comerica Inc,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,,1,1,0,1
CLX,10179,The Clorox Company,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,,1,1,0,1
CLH,10177,Clean Harbors Inc,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,,0,1,0,0
CL,10175,Colgate-Palmolive Company,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,,1,1,0,1
CINF,10174,Cincinnati Financial Corp,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,,1,1,0,0
CIEN,10173,Ciena Corporation,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,,0,0,0,0
