_id,kwName,kwUrl,wfUrl,wfName,domainId,score,merchantId,Merchant.MaxRate.Kind,Merchant.MaxRate.Amount,MatchAlgo,Rating,combinedScore(>=8 positive)
621b993c5f87e75f5365a97d,Verizon Communications,http://verizon.com,verizon.com,Verizon Wireless,5834,1.09E-16,6738,FLAT,150,Sara,positive,8.5
621b99b15f87e75f5365eda1,Xfinity,https://www.xfinity.com/,xfinity.com,Xfinity,7985,,119083,FLAT,120,Anushka,neutral,1.5
62def1537b212526d1e06633,Vroom,https://www.vroom.com/,vroom.com,Vroom,3855357,,5483918,FLAT,110,Anushka,negative,-8.5
621b993b5f87e75f5365a8b5,AT&T,http://att.com,att.com,AT&T Video,70647,2.22E-16,83337,FLAT,100,Sara,neutral,7
621b996e5f87e75f5365c65d,Indusind Bank,http://indusind.com,indusind.com,IndusInd Bank,99481,1.02E-16,109596,FLAT,87.5,Sara,neutral,0
62def2547b212526d1e07a4f,MSL,https://mslgroup.com/,msl.ua,Msl,114619,,115308,FLAT,43.705,Anushka,neutral,1
621b994c5f87e75f5365b2a1,Inspire Clean Energy,http://inspirecleanenergy.com,inspirecleanenergy.com,Inspire Energy,99817,1.18E-16,100228,FLAT,42.5,Sara,positive,11
621b993a5f87e75f5365a80d,RingCentral,http://ringcentral.com,ringcentral.com,RingCentral: Business Cloud Phone System,3855464,1.23E-16,5481694,FLAT,40,Sara,negative,-2.5
621b99385f87e75f5365a735,Paychex,http://paychex.com,paychex.com,Paychex,3854656,8.07E-17,5481001,FLAT,37.5,Sara,negative,-4
621b99895f87e75f5365d619,"Aspiration Partners, Inc.",http://aspiration.com,aspiration.com,Aspiration,78016,6.34E-17,78036,FLAT,37.5,Sara,neutral,1.5
621b99535f87e75f5365b6a5,Aspiration,http://aspiration.com,aspiration.com,Aspiration,78016,6.34E-17,78036,FLAT,37.5,Sara,positive,10
621b993b5f87e75f5365a8d1,TransUnion,http://transunion.com,transunion.com,TransUnion,75813,6.34E-17,76315,FLAT,30,Sara,neutral,0
621b99f75f87e75f536615f5,Direct Energy,https://www.directenergy.com/,directenergy.com,Direct Energy,5512035,,5512553,FLAT,25,Anushka,negative,-2
621b99b55f87e75f5365efb9,QuickBooks,https://quickbooks.intuit.com/,quickbooks.intuit.com,QuickBooks,3921680,0.02479338843,120331,FLAT,25,Sara,neutral,5
621b993b5f87e75f5365a8e9,TripAdvisor,https://www.tripadvisor.com,tripadvisor.com,TripAdvisor,3924782,,5483430,PERCENTAGE,20,Anushka,negative,-5
62def3e07b212526d1e0980d,Splendid Spoon,http://splendidspoon.com/,splendidspoon.com,Splendid Spoon,34853,0.02555069794,36765,FLAT,20,Sara,neutral,1
621b993f5f87e75f5365aaed,Thrive Market,http://thrivemarket.com,thrivemarket.com,Thrive Market,3855303,9.76E-17,5483196,FLAT,20,Sara,positive,15
621b99be5f87e75f5365f539,West Elm,https://www.westelm.com/,westelm.ae,West Elm,97765,,99074,FLAT,16.8,Anushka,neutral,7.5
621b998e5f87e75f5365d8f9,American Provenance,http://americanprovenance.com,americanprovenance.com,American Provenance,111380,7.79E-17,112535,PERCENTAGE,15,Sara,neutral,0
62def3e97b212526d1e09c28,ABBYY,https://www.abbyy.com/,abbyy.com,ABBYY,8875,,115730,PERCENTAGE,15,Anushka,neutral,0.5
62def1b37b212526d1e072d0,Athletic Greens,https://athleticgreens.com/en,athleticgreens.com,Athletic Greens,4326481,,5475468,PERCENTAGE,15,Anushka,neutral,1
621b99995f87e75f5365df71,Vegan Mia Organics,http://veganmia.com,veganmia.com,Vegan Mia Organics,82386,1.18E-16,82473,PERCENTAGE,15,Sara,neutral,1.5
62def0f67b212526d1e058e2,Betterbrand,http://trybetterbrand.com,trybetterbrand.com,Betterbrand Health,122607,1.14E-16,123952,PERCENTAGE,15,Sara,neutral,1.5
621b993e5f87e75f5365aa45,Plant People,http://plantpeople.co,plantpeople.co,Plant People,67050,9.16E-17,68425,PERCENTAGE,15,Sara,positive,14
62def19d7b212526d1e06fca,NOVICA,www.NOVICA.com,novica.com,NOVICA,4611761,,5480662,PERCENTAGE,15,Anushka,positive,15
62def3f07b212526d1e0a1b5,Marley Spoon,https://marleyspoon.com,marleyspoon.com,Marley Spoon,4325253,,84887,FLAT,12.5,Anushka,neutral,0.5
62def1b27b212526d1e072bc,Pela,https://pela.earth/,pela.earth,Pela,120095,,120104,FLAT,12.5,Anushka,neutral,1
62deee757b212526d1e0233b,Laguna Herbals,https://lagunaherbals.com/,lagunaherbals.com,Laguna Herbals,67490,0.02555069794,70667,PERCENTAGE,12.5,Sara,neutral,1.5
62deeeb67b212526d1e02dfa,Innate Organic Body,https://www.innateorganicbody.com/,innateorganicbody.com,Innate Organic Body,5511192,,5512634,PERCENTAGE,12.5,Anushka,neutral,1.5
621b99eb5f87e75f53660f69,American Home Shield,https://www.ahs.com/,ahs.com,American Home Shield,95398,,100783,FLAT,12,Anushka,negative,-3.5
621b99d45f87e75f53660191,Glamglow,https://www.glamglow.com/,glamglow.com,GLAMGLOW,3921142,,5478234,PERCENTAGE,12,Anushka,positive,8
621b99d45f87e75f536601e9,Origins,https://www.origins.com/,origins.com,Origins,3923076,,5480837,PERCENTAGE,12,Anushka,positive,8
621b99d45f87e75f536601dd,Smashbox,https://www.smashbox.com/,smashbox.com,Smashbox,3924038,,5482359,PERCENTAGE,12,Anushka,positive,8
621b99325f87e75f5365a3c1,Domino's Pizza,http://dominos.com,pizzaonline.dominos.co.in,Domino's Pizza,97467,,98328,FLAT,11,Anushka,negative,-6.5
62deeeb47b212526d1e02d9d,MadeMan,https://getmademan.com/,getmademan.com,MadeMan,92125,,107945,PERCENTAGE,11,Anushka,neutral,1.5
62def1547b212526d1e0665a,McAfee,https://www.mcafee.com/,mcafee.com,McAfee,97832,,5518712,FLAT,10,Anushka,negative,-1
