"id","name","found"
"10346","Global Blood Therapeutics",true
"10347","General Dynamics Corp",true
"10348","GoDaddy.com Inc",true
"10349","General Electric Company",true
"10350","Graco Inc",true
"10351","Guardant Health, Inc.",true
"10352","Graham Holdings Company",true
"10353","Gilead Sciences Inc",true
"10354","General Mills Inc",true
"10355","Global Life",true
"10356","GCI Liberty, Inc.",true
"10357","Gaming & Leisure Properties, Inc.",true
"10358","Corning Inc",true
"10359","General Motors Company",true
"10360","Globus Medical, Inc.",true
"10361","Generac Holdings Inc.",true
"10362","Gentex Corp",true
"10363","Alphabet Inc",true
"10364","Genuine Parts Co",true
"10365","Graphic Packaging Holding Co",true
"10366","Global Payments Inc",true
"10367","The Gap, Inc.",true
"10368","W. R. Grace & Co.",true
"10369","Garmin Ltd",true
"10370","GrubHub Inc",true
"10371","Goldman Sachs Group Inc",true
"10372","Gates Industrial Corp PLC",true
"10373","Guidewire Software Inc",true
"10374","WW Grainger Inc",true
"10375","Hyatt Hotels Corporation",true
"10376","Haemonetics",true
"10377","The Hain Celestral Group, Inc.",true
"10378","Halliburton Company",true
"10379","Hasbro Inc",true
"10380","Huntington Bancshares Inc",true
"10381","Hanesbrands Inc",true
"10382","HCA Healthcare, Inc.",true
"10383","The Home Depot Inc.",true
"10384","HD Supply Holdings, Inc.",true
"10385","Hawaiian Electric Industries Inc",true
"10386","HEICO Corporation",true
"10387","Hess Corporation",true
"10388","HollyFrontier Corporation",true
"10389","The Howard Hughes Corporation",true
"10390","The Hartford Financial Services Group, Inc.",true
"10391","Huntington Ingalls Industries Inc",true
"10392","Herbalife Ltd",true
"10393","Hilton Worldwide Holdings Inc",true
"10394","Harley-Davidson Inc",true
"10395","Hologic Inc",true
"10396","Honeywell International Inc",true
"10397","Helmerich & Payne Inc",true
"10398","Hewlett Packard Enterprise Company",true
"10399","HP Inc.",true
"10400","H&R Block Inc",true
"10401","Hill-Rom Holdings, Inc.",true
"10402","Hormel Foods Corporation",true
"10403","Henry Schein Inc",true
"10404","The Hershey Company",true
"10405","Hubbell Inc",true
"10406","HubSpot, Inc.",true
"10407","Humana Inc",true
"10408","Huntsman Corp",true
"10409","Howmet Aerospace",true
"10410","Hexcel Corp",true
"10411","Horizon Therapeutics plc",true
"10412","IAC/InterActiveCorp",true
"10413","Integra LifeSciences Holdings",true
"10414","Interactive Brokers Group Inc",true
"10415","International Business Machines Corporation",true
"10416","Intercontinental Exchange",true
"10417","ICU Medical Inc",true
"10418","IDACORP, Inc.",true
"10419","IDEXX Laboratories Inc",true
"10420","IDEX Corporation",true
"10421","International Flavors & Fragrances, Inc.",true
"10422","Illumina Inc",true
"10423","Immunomedics, Inc.",true
"10424","Incyte Corporation",true
"10425","IHS Markit Ltd",true
"10426","Ingredion Incorporated",true
"10427","Intel Corp",true
"10428","Intuit Inc",true
"10429","Invitation Homes LP",true
"10430","Ionis Pharmaceuticals, Inc.",true
"10431","Iovance Biotherapeutics, Inc.",true
"10432","International Paper Co",true
"10433","The Interpublic Group of Companies, Inc.",true
"10434","IPG Photonics Corp",true
"10435","Inphi Corporation",true
"10436","IQVIA Holdings Inc.",true
"10437","Ingersoll Rand",true
"10438","Iron Mountain Inc",true
"10439","Intuitive Surgical Inc",true
"10440","Gartner Inc",true
"10441","ITT Inc",true
"10442","Illinois Tool Works Inc",true
"10443","Invesco Ltd.",true
"10444","Jacobs Engineering Group Inc",true
"10445","Jazz Pharmaceuticals Inc",true
"10446","JBG SMITH Properties",true
"10447","JB Hunt Transport Services Inc",true
"10448","Jabil Inc.",true
"10449","JetBlue Airways Corp",true
"10450","Johnson Controls International PLC",true
"10451","Jefferies Financial Group Inc.",true
"10452","Jack Henry & Associates Inc",true
"10453","Jones Lang LaSalle Inc",true
"10454","Johnson & Johnson",true
"10455","Juniper Networks Inc",true
"10456","JPMorgan Chase & Co",true
"10457","John Wiley & Sons Inc",true
"10458","Nordstrom Inc",true
"10459","Kellogg Company",true
"10460","Keurig Dr Pepper Inc.",true
"10461","Kirby Corp",true
"10462","KeyCorp",true
"10463","Keysight Technologies Inc",true
"10464","The Kraft Heinz Company",true
"10465","Kimco Realty Corporation",true
"10466","Kohlberg, Kravis, Roberts",true
"10467","KLA-Tencor Corp",true
"10468","Kimberly-Clark Corp",true
"10469","Kinder Morgan, Inc.",true
"10470","Kemper Corporation",true
"10471","CarMax Inc",true
"10472","Knight-Swift Transportation Holdings Inc",true
"10473","The Coca-Cola Company",true
"10474","The Kroger Co.",true
"10475","Kohl's Corp",true
"10476","Kansas City Southern",true
"10477","Loews Corp",true
"10478","Lamar Advertising Company",true
"10479","Lazard Ltd",true
"10480","L Brands, Inc.",true
"10481","Leidos Holdings, Inc.",true
"10482","Lear Corporation",true
"10483","Lincoln Electric Holdings Inc",true
"10484","Leggett & Platt Inc",true
"10485","Lennar Corporation",true
"10486","Littelfuse Inc",true
"10487","Lions Gate Entertainment Corp",true
"10488","Laboratory Corporation of America",true
"10489","L3 Harris Technologies",true
"10490","Lennox International Inc",true
"10491","Linde plc",true
"10492","Lumentum Holdings Inc.",true
"10493","LKQ Corp",true
"10494","Eli Lilly And Company",true
"10495","Lockheed Martin Corp",true
"10496","Lincoln National Corp",true
"10497","Cheniere Energy Inc",true
"10498","Alliant Energy Corp",true
"10499","Grand Canyon Education Inc",true
"10500","Lowes Companies, Inc.",true
"10501","LPL Financial Holdings Inc.",true
"10502","Lam Research Corp",true
"10503","Life Storage, Inc.",true
"10504","Landstar System Inc",true
"10505","Lululemon Athletica Inc",true
"10506","Lumen Technologies",true
"10507","Southwest Airlines Co.",true
"10508","Livongo Health, Inc.",true
"10509","Las Vegas Sands Corp",true
"10510","Lamb Weston Holdings Inc",true
"10511","LyondellBasell Industries N.V.",true
"10512","Lyft, Inc.",true
"10513","Live Nation Entertainment, Inc.",true
"10514","MasterCard Inc",true
"10515","Mid-America Apartment Communities",true
"10516","ManpowerGroup Inc",true
"10517","Manhattan Associates Inc",true
"10518","Marriott International Inc",true
"10519","Masco Corp",true
"10520","Masimo Corp",true
"10521","Mattel Inc",true
"10522","McDonald's Corp",true
"10523","Microchip Technology Inc",true
"10524","McKesson Corp",true
"10525","Moody's Corp",true
"10526","Mercury General Corp",true
"10527","MongoDB, Inc.",true
"10528","Mondelez International, Inc.",true
"10529","Medtronic PLC",true
"10530","MDU Resources Group Inc",true
"10531","MetLife Inc",true
"10532","MGM Resorts International",true
"10533","Mohawk Industries Inc",true
"10534","Macquarie Infrastructure Corporation",true
"10535","Middleby Corp",true
"10536","McCormick & Co Inc",true
"10537","Markel Corp",true
"10538","MKS Instruments Inc",true
"10539","MarketAxess Holdings Inc",true
"10540","Martin Marietta Materials Inc",true
"10541","Marsh & McLennan Companies, Inc.",true
"10542","3M Company",true
"10543","Monster Beverage Corporation",true
"10544","Altria Group, Inc.",true
"10545","Molina Healthcare Inc",true
"10546","Morningstar Inc",true
"10547","The Mosaic Company",true
"10548","Marathon Petroleum Corp",true
"10549","Monolithic Power Systems Inc",true
"10550","Mercury Systems, Inc.",true
"10551","Merck & Co., Inc.",true
"10552","Moderna, Inc.",true
"10553","Marathon Oil Corp",true
"10554","Marvell Technology Group Ltd",true
"10555","Morgan Stanley",true
"10556","MSA Safety Inc",true
"10557","MSCI Inc",true
"10558","Microsoft Corporation",true
"10559","Madison Square Garden Entertainment Corp.",true
"10560","Madison Square Garden Sports",true
"10561","Motorola Solutions, Inc.",true
"10562","MSC Industrial Direct Co., Inc.",true
"10563","M&T Bank Corp",true
"10564","Match Group Inc",true
"10565","Mettler-Toledo International Inc",true
"10566","MGIC Investment Corporation",true
"10567","Vail Resorts Inc",true
"10568","Micron Technology Inc",true
"10569","Murphy Oil Corporation",true
"10570","Maxim Integrated Products Inc",true
"10571","Mylan N.V.",true
"10572","National Instruments Corporation",true
"10573","Neurocrine Biosciences Inc",true
"10574","Noble Energy Inc",true
"10575","Norwegian Cruise Line Holdings Ltd.",true
"10576","NCR Corp",true
"10577","Nasdaq, Inc.",true
"10578","Nordson Corp",true
"10579","NextEra Energy Resources LLC",true
"10580","Newmont Mining Corp",true
"10581","Cloudflare",true
"10582","NewMarket Corp",true
"10583","New Relic, Inc.",true
"10584","National Fuel Gas Co",true
"10585","Netflix Inc",true
"10586","NiSource Inc",true
"10587","NIKE, Inc.",true
"10588","Nektar Therapeutics",true
"10589","NortonLifeLock Inc",true
"10590","Nielsen Holdings PLC",true
"10591","Northrop Grumman Corporation",true
"10592","National Oilwell Varco LP",true
"10593","ServiceNow, Inc.",true
"10594","NRG Energy, Inc.",true
"10595","Norfolk Southern Corp",true
"10596","NetApp Inc",true
"10597","Nutanix Inc",true
"10598","Northern Trust Corp",true
"10599","Nuance Communications Inc",true
"10600","Nucor Corporation",true
"10601","Nu Skin Enterprises Inc",true
"10602","NOVOCURE LTD",true
"10603","NVIDIA Corp",true
"10604","NVR Inc",true
"10605","nVent Electric Plc",true
"10606","Newell Brands Inc",true
"10607","News Corporation",true
"10608","Nexstar Media Group",true
"10609","New York Community Bancorp Inc",true
"10610","The New York Times Company",true
"10611","Owens Corning",true
"10612","Old Dominion Freight Line Inc",true
"10613","OGE Energy Corp",true
"10614","ONEOK, Inc.",true
"10615","Okta Inc",true
"10616","Universal Display Corp",true
"10617","Ollie's Bargain Outlet Holdings, Inc.",true
"10618","Olin Corp",true
"10619","Omnicom Group Inc",true
"10620","OneMain Holdings, Inc.",true
"10621","ON Semiconductor Corp",true
"10622","Oracle Corporation",true
"10623","Old Republic International Corp",true
"10624","O'Reilly Automotive Inc",true
"10625","Oshkosh Corporation",true
"10626","Otis Worldwide Corporation",true
"10627","OUTFRONT Media Inc.",true
"10628","Occidental Petroleum Corporation",true
"10629","Bank OZK",true
"10630","PacWest Bancorp",true
"10631","Penske Automotive Group, Inc.",true
"10632","Palo Alto Networks",true
"10633","Paycom Software Inc",true
"10634","Paychex Inc",true
"10635","Prosperity Bancshares Inc",true
"10636","Peoples United Financial, Inc.",true
"10637","PACCAR Inc",true
"10638","PG&E Corporation",true
"10639","Paylocity Holding Corporation",true
"10640","PagerDuty, Inc.",true
"10641","Parsley Energy Inc",true
"10642","Public Service Enterprise Group Incorporated",true
"10643","Pegasystems Inc",true
"10644","Penumbra Inc",true
"10645","PepsiCo Inc",true
"10646","Pfizer Inc",true
"10647","Principal Financial Group Inc",true
"10648","Proofpoint Inc",true
"10649","The Procter & Gamble Company",true
"10650","The Progressive Corporation",true
"10651","Parker Hannifin Corp",true
"10652","PulteGroup, Inc.",true
"10653","Polaris Industries Inc.",true
"10654","Premier Inc",true
"10655","Pinterest",true
"10656","Park Hotels & Resorts Inc.",true
