action,type,original,companyId,companyName
ADD,MANUAL,Roku For Hulu LLC,621b99b25f87e75f5365ee4d,
ADD,MANUAL,TJ Maxx,621b993b5f87e75f5365a89d,
ADD,MANUAL,T.j.maxx Egift Card,621b993b5f87e75f5365a89d,
ADD,MANUAL,T.j.maxx,621b993b5f87e75f5365a89d,
ADD,MANUAL,The North,621b99bd5f87e75f5365f4c5,
ADD,MANUAL,The North Face Tanger Outlets At Charleston,621b99bd5f87e75f5365f4c5,
ADD,MANUAL,Thrivecausemetics,62deedae7b212526d1e01a15,
ADD,MANUAL,Urban Out,62def2237b212526d1e0766f,
ADD,MANUAL,Urban Outfitrs,62def2237b212526d1e0766f,
ADD,MANUAL,Urban Outfitters,62def2237b212526d1e0766f,
ADD,MANUAL,Urban Outfitte,62def2237b212526d1e0766f,
ADD,MANUAL,Urban-outfitters,62def2237b212526d1e0766f,
ADD,MANUAL,Urbanoutfit,62def2237b212526d1e0766f,
ADD,MANUAL,Urbanoutfitters,62def2237b212526d1e0766f,
ADD,MANUAL,Victoria's Sec,621b99b75f87e75f5365f135,
ADD,MANUAL,Aritzia Com,62def2247b212526d1e0767b,
ADD,MANUAL,Zara,62def2767b212526d1e07cdc,
ADD,MANUAL,Vuori Clothing,62def20f7b212526d1e074f0,
ADD,MANUAL,Card&#10;ulta.com Ulta.com,621b993b5f87e75f5365a919,
ADD,MANUAL,Cvs,621b99b15f87e75f5365edcd,
REMOVE,MANUAL,Walgreens,,AmerisourceBergen Corp
REMOVE,MANUAL,Best Buy,,"Best Buy Co., Inc."
ADD,MANUAL,Advance Auto,621b992e5f87e75f5365a175,
ADD,MANUAL,Card&;airbnb,62deef257b212526d1e040ea,
ADD,MANUAL,Alaska Airlines,621b992e5f87e75f5365a18d,
ADD,MANUAL,Alaska Airlines-in Flght,621b992e5f87e75f5365a18d,
ADD,MANUAL,Alaska Air In,621b992e5f87e75f5365a18d,
ADD,MANUAL,Alaska Air In Flight,621b992e5f87e75f5365a18d,
ADD,MANUAL,Am Eagle Otfit,62deed637b212526d1e0101b,
ADD,MANUAL,Am Eagle,62deed637b212526d1e0101b,
ADD,MANUAL,Apple,621b992e5f87e75f5365a19d,
ADD,MANUAL,Bill Payment,621b993b5f87e75f5365a8b5,
ADD,MANUAL,Att,621b993b5f87e75f5365a8b5,
ADD,MANUAL,Audible,621b99af5f87e75f5365ec49,
ADD,MANUAL,Avocado Mattress LLC,621b99415f87e75f5365ac05,
ADD,MANUAL,Avocadomatt,621b99415f87e75f5365ac05,
ADD,MANUAL,Reynoldsburg,621b99b75f87e75f5365f12d,
ADD,MANUAL,Bath & Body,621b99b75f87e75f5365f12d,
ADD,MANUAL,Bestbuy,621b99305f87e75f5365a251,
ADD,MANUAL,Bestbuycom,621b99305f87e75f5365a251,
ADD,MANUAL,Microsoft,621b99305f87e75f5365a251,
ADD,MANUAL,Qpbest Buy,621b99305f87e75f5365a251,
ADD,MANUAL,Zipbest,621b99305f87e75f5365a251,
ADD,MANUAL,Bp,62def24a7b212526d1e07975,
ADD,MANUAL,Bp Fdms Cat,62def24a7b212526d1e07975,
ADD,MANUAL,Bp Fdms Inside,62def24a7b212526d1e07975,
ADD,MANUAL,Food Mart,62def24a7b212526d1e07975,
ADD,MANUAL,Bp Gas,62def24a7b212526d1e07975,
ADD,MANUAL,Kingsway,62def24a7b212526d1e07975,
ADD,MANUAL,Bp Products Na,62def24a7b212526d1e07975,
ADD,MANUAL,Arco,62def24a7b212526d1e07975,
ADD,MANUAL,Bp Products North Amer,62def24a7b212526d1e07975,
ADD,MANUAL,Bp Products North Ameri,62def24a7b212526d1e07975,
ADD,MANUAL,Bpchatha,62def24a7b212526d1e07975,
ADD,MANUAL,Bpcanterburqps,62def24a7b212526d1e07975,
ADD,MANUAL,Bpquali,62def24a7b212526d1e07975,
ADD,MANUAL,Bpkamal,62def24a7b212526d1e07975,
ADD,MANUAL,Bpdom,62def24a7b212526d1e07975,
ADD,MANUAL,Bpdelano,62def24a7b212526d1e07975,
ADD,MANUAL,Bpsummit,62def24a7b212526d1e07975,
ADD,MANUAL,Bpricker,62def24a7b212526d1e07975,
ADD,MANUAL,Bpmiddletown,62def24a7b212526d1e07975,
ADD,MANUAL,Bpjbh,62def24a7b212526d1e07975,
ADD,MANUAL,Bpb&d,62def24a7b212526d1e07975,
ADD,MANUAL,Bpspeedup,62def24a7b212526d1e07975,
ADD,MANUAL,Bpbp,62def24a7b212526d1e07975,
ADD,MANUAL,Bppetro,62def24a7b212526d1e07975,
ADD,MANUAL,Bpcashiers,62def24a7b212526d1e07975,
ADD,MANUAL,Bpgardens,62def24a7b212526d1e07975,
ADD,MANUAL,Bpfitchburgqps,62def24a7b212526d1e07975,
ADD,MANUAL,Bpwest,62def24a7b212526d1e07975,
ADD,MANUAL,Bpswain,62def24a7b212526d1e07975,
ADD,MANUAL,Bprosew,62def24a7b212526d1e07975,
ADD,MANUAL,Bpshallotte,62def24a7b212526d1e07975,
ADD,MANUAL,Bpnavrang,62def24a7b212526d1e07975,
ADD,MANUAL,Bppenn,62def24a7b212526d1e07975,
ADD,MANUAL,Bpcolonial,62def24a7b212526d1e07975,
ADD,MANUAL,Bpeast,62def24a7b212526d1e07975,
ADD,MANUAL,Bpbinfo,62def24a7b212526d1e07975,
ADD,MANUAL,Bpingra,62def24a7b212526d1e07975,
ADD,MANUAL,Amherst,62def24a7b212526d1e07975,
ADD,MANUAL,Bpliberty,62def24a7b212526d1e07975,
ADD,MANUAL,Bplincoln,62def24a7b212526d1e07975,
ADD,MANUAL,Bpcapl,62def24a7b212526d1e07975,
ADD,MANUAL,Bpraphine,62def24a7b212526d1e07975,
ADD,MANUAL,Bphiway,62def24a7b212526d1e07975,
ADD,MANUAL,Bpcole's,62def24a7b212526d1e07975,
ADD,MANUAL,Bppinnacle,62def24a7b212526d1e07975,
ADD,MANUAL,Bpthree,62def24a7b212526d1e07975,
ADD,MANUAL,Bpwestside,62def24a7b212526d1e07975,
ADD,MANUAL,Bpbeaver,62def24a7b212526d1e07975,
ADD,MANUAL,Bptriangle,62def24a7b212526d1e07975,
ADD,MANUAL,Bpglen,62def24a7b212526d1e07975,
ADD,MANUAL,Family,62def24a7b212526d1e07975,
ADD,MANUAL,Bpguess,62def24a7b212526d1e07975,
ADD,MANUAL,Bpzip,62def24a7b212526d1e07975,
ADD,MANUAL,Bpi75,62def24a7b212526d1e07975,
ADD,MANUAL,Bpcolumbus,62def24a7b212526d1e07975,
ADD,MANUAL,Bphayes,62def24a7b212526d1e07975,
ADD,MANUAL,Bpfranklin,62def24a7b212526d1e07975,
ADD,MANUAL,Bpjeffersonville,62def24a7b212526d1e07975,
ADD,MANUAL,Bpdlr,62def24a7b212526d1e07975,
ADD,MANUAL,Bpkelly's,62def24a7b212526d1e07975,
ADD,MANUAL,Bpcarrboro,62def24a7b212526d1e07975,
ADD,MANUAL,Bpbull,62def24a7b212526d1e07975,
ADD,MANUAL,Bpmaurice,62def24a7b212526d1e07975,
ADD,MANUAL,Bphwy,62def24a7b212526d1e07975,
ADD,MANUAL,Bpamoco,62def24a7b212526d1e07975,
ADD,MANUAL,Bppri-mart,62def24a7b212526d1e07975,
ADD,MANUAL,Bpgiant,62def24a7b212526d1e07975,
ADD,MANUAL,Bpmukti,62def24a7b212526d1e07975,
ADD,MANUAL,Bpwolf,62def24a7b212526d1e07975,
ADD,MANUAL,Bponeida,62def24a7b212526d1e07975,
ADD,MANUAL,Bpjet,62def24a7b212526d1e07975,
ADD,MANUAL,Bpnayah,62def24a7b212526d1e07975,
ADD,MANUAL,Bposborne,62def24a7b212526d1e07975,
ADD,MANUAL,Bpbest,62def24a7b212526d1e07975,
ADD,MANUAL,Bpgas,62def24a7b212526d1e07975,
ADD,MANUAL,Bpbig,62def24a7b212526d1e07975,
ADD,MANUAL,Bpfives,62def24a7b212526d1e07975,
ADD,MANUAL,Bpfivestar,62def24a7b212526d1e07975,
ADD,MANUAL,Bpgood,62def24a7b212526d1e07975,
ADD,MANUAL,Bpsawyer's,62def24a7b212526d1e07975,
ADD,MANUAL,Bprokeya,62def24a7b212526d1e07975,
ADD,MANUAL,Bppritzl,62def24a7b212526d1e07975,
ADD,MANUAL,Bpvirginia,62def24a7b212526d1e07975,
ADD,MANUAL,Bpshorestop,62def24a7b212526d1e07975,
ADD,MANUAL,Bpscotchman,62def24a7b212526d1e07975,
ADD,MANUAL,Bpmauston,62def24a7b212526d1e07975,
ADD,MANUAL,Bpenergy,62def24a7b212526d1e07975,
ADD,MANUAL,Bpfive,62def24a7b212526d1e07975,
ADD,MANUAL,Bpcolle,62def24a7b212526d1e07975,
ADD,MANUAL,Bphan-dee,62def24a7b212526d1e07975,
ADD,MANUAL,Bpnora,62def24a7b212526d1e07975,
ADD,MANUAL,Bplake,62def24a7b212526d1e07975,
ADD,MANUAL,Bpjacks,62def24a7b212526d1e07975,
ADD,MANUAL,Bpmahil,62def24a7b212526d1e07975,
ADD,MANUAL,Bpgetgo,62def24a7b212526d1e07975,
ADD,MANUAL,Tuttle Xi,62def24a7b212526d1e07975,
ADD,MANUAL,Canal Win,62def24a7b212526d1e07975,
ADD,MANUAL,Worthingt,62def24a7b212526d1e07975,
ADD,MANUAL,Bparchway,62def24a7b212526d1e07975,
ADD,MANUAL,Bpfas-t,62def24a7b212526d1e07975,
ADD,MANUAL,Bpa-1,62def24a7b212526d1e07975,
ADD,MANUAL,Bplinco,62def24a7b212526d1e07975,
ADD,MANUAL,Bplincolnshqps,62def24a7b212526d1e07975,
ADD,MANUAL,Bplewis,62def24a7b212526d1e07975,
ADD,MANUAL,Bpwaukegan,62def24a7b212526d1e07975,
ADD,MANUAL,Bpskokie,62def24a7b212526d1e07975,
ADD,MANUAL,Bpsantee,62def24a7b212526d1e07975,
ADD,MANUAL,Bpcenter,62def24a7b212526d1e07975,
