"id","name","score"
"62192d44f022c9e3fbfe4125","Lear Corporation",-3
"62192d44f022c9e3fbfe4129","Kemper Corporation",-12.5
"62192d44f022c9e3fbfe412d","Kansas City Southern",-9
"62192d44f022c9e3fbfe4131","CarMax",-7.5
"62192d44f022c9e3fbfe4135","Cheniere Energy",-5.5
"62192d44f022c9e3fbfe4139","Lumentum Holdings",-9
"62192d44f022c9e3fbfe413d","LPL Financial Holdings",-1.5
"62192d44f022c9e3fbfe4141","Alliant Energy",-6.5
"62192d44f022c9e3fbfe4145","Lululemon",-7
"62192d44f022c9e3fbfe4149","Lumen Technologies",-2
"62192d44f022c9e3fbfe414d","Lazard",-5.5
"62192d44f022c9e3fbfe4151","Lowes Companies",-1.5
"62192d44f022c9e3fbfe4155","Lincoln National",-2
"62192d44f022c9e3fbfe4159","Landstar System",-12.5
"62192d44f022c9e3fbfe415d","L3 Harris Technologies",-5
"62192d44f022c9e3fbfe4161","Southwest Airlines Co.",-5.5
"62192d44f022c9e3fbfe4165","Loews",-11.5
"62192d44f022c9e3fbfe4169","Lions Gate Entertainment",0
"62192d44f022c9e3fbfe416d","LKQ",-7.5
"62192d44f022c9e3fbfe4171","Lyft",-0.5
"62192d44f022c9e3fbfe4175","Las Vegas Sands",-7.5
"62192d44f022c9e3fbfe4179","Live Nation Entertainment",-11.5
"62192d44f022c9e3fbfe417d","Livongo Health",0
"62192d44f022c9e3fbfe4181","MasterCard",9
"62192d44f022c9e3fbfe4185","Manhattan Associates",-11.5
"62192d44f022c9e3fbfe4189","McDonald's",-0.5
"62192d44f022c9e3fbfe418d","ManpowerGroup",-3
"62192d44f022c9e3fbfe4191","Mattel",-5.5
"62192d44f022c9e3fbfe4195","MetLife",-0.5
"62192d44f022c9e3fbfe4199","Moody's",4
"62192d44f022c9e3fbfe419d","MongoDB",-9
"62192d44f022c9e3fbfe41a1","Mohawk Industries",-8.5
"62192d45f022c9e3fbfe41a5","Markel",-8.5
"62192d45f022c9e3fbfe41a9","Morningstar",-10
"62192d45f022c9e3fbfe41ad","MarketAxess Holdings",-12
"62192d45f022c9e3fbfe41b1","Mercury General",-8.5
"62192d45f022c9e3fbfe41b5","Mercury Systems",-12
"62192d45f022c9e3fbfe41b9","MGM Resorts International",-10.5
"62192d45f022c9e3fbfe41bd","Macquarie Infrastructure",0
"62192d45f022c9e3fbfe41c1","Marsh & McLennan Companies",-7.5
"62192d45f022c9e3fbfe41c5","Marriott International",-1.5
"62192d45f022c9e3fbfe41c9","Marathon Petroleum",-1
"62192d45f022c9e3fbfe41cd","Madison Square Garden Entertainment",0
"62192d45f022c9e3fbfe41d1","Microsoft",11
"62192d45f022c9e3fbfe41d5","Altria Group",3
"62192d45f022c9e3fbfe41d9","MSCI",-3
"62192d45f022c9e3fbfe41dd","Marathon Oil",-7.5
"62192d45f022c9e3fbfe41e1","Morgan Stanley",0.5
"62192d45f022c9e3fbfe41e5","M&T Bank",-10.5
"62192d45f022c9e3fbfe41e9","Cloudflare",-11.5
"62192d45f022c9e3fbfe41ed","New Relic",-11
"62192d45f022c9e3fbfe41f1","MGIC Investment",-11
"62192d45f022c9e3fbfe41f5","NiSource",-8
"62192d45f022c9e3fbfe41f9","Noble Energy",0
"62192d45f022c9e3fbfe41fd","Motorola Solutions",-6.5
"62192d45f022c9e3fbfe4201","Norwegian Cruise Line Holdings",-10
"62192d45f022c9e3fbfe4205","NortonLifeLock",-5.5
"62192d45f022c9e3fbfe4209","Nike",4.5
"62192d45f022c9e3fbfe420d","Nasdaq",-2.5
"62192d45f022c9e3fbfe4211","ServiceNow",-5
"62192d45f022c9e3fbfe4215","Netflix",-5
"62192d45f022c9e3fbfe4219","NCR",-8.5
"62192d45f022c9e3fbfe421d","Match Group",-12
"62192d45f022c9e3fbfe4221","Murphy Oil Corporation",0
"62192d45f022c9e3fbfe4225","Nuance Communications",-11
"62192d45f022c9e3fbfe4229","NextEra Energy Resources",-6.5
"62192d45f022c9e3fbfe422d","NRG Energy",-8
"62192d46f022c9e3fbfe4231","Northern Trust",-11
"62192d46f022c9e3fbfe4235","Nielsen Holdings",2.5
"62192d46f022c9e3fbfe4239","Nu Skin Enterprises",0
"62192d46f022c9e3fbfe423d","NVR",-15
"62192d46f022c9e3fbfe4241","MSC Industrial Direct Co.",-6
"62192d46f022c9e3fbfe4245","National Fuel Gas Co",-8.5
"62192d46f022c9e3fbfe4249","Vail Resorts",-10
"62192d46f022c9e3fbfe424d","Nexstar Media Group",-11
"62192d46f022c9e3fbfe4251","Madison Square Garden Sports",0
"62192d46f022c9e3fbfe4255","Omnicom Group",-9
"62192d46f022c9e3fbfe4259","Nutanix",-9.5
"62192d46f022c9e3fbfe425d","NetApp",-8
"62192d46f022c9e3fbfe4261","Norfolk Southern",-11
"62192d46f022c9e3fbfe4265","The New York Times Company",-8.5
"62192d46f022c9e3fbfe4269","Ollie's Bargain Outlet Holdings",-12
"62192d46f022c9e3fbfe426d","Old Dominion Freight Line",-8
"62192d46f022c9e3fbfe4271","OneMain Holdings",-13
"62192d46f022c9e3fbfe4275","Owens Corning",4
"62192d46f022c9e3fbfe4279","Occidental Petroleum",0
"62192d46f022c9e3fbfe427d","Oracle",-7.5
"62192d46f022c9e3fbfe4281","PacWest Bancorp",-10.5
"62192d46f022c9e3fbfe4285","New York Community Bancorp",-9.5
"62192d46f022c9e3fbfe4289","Otis Worldwide",-7
"62192d46f022c9e3fbfe428d","News Corporation",-11
"62192d46f022c9e3fbfe4291","Okta",-3
"62192d46f022c9e3fbfe4295","ONEOK",-6
"62192d46f022c9e3fbfe4299","Old Republic International",-12
