"userId","merchantFrequencies"
"621b99235f87e75f53659bc4","[{""company"":""Best Buy"",""frequency"":2},{""company"":""Panera Bread"",""frequency"":2},{""company"":""Dick's Sporting Goods"",""frequency"":2},{""company"":""Stop & Shop"",""frequency"":50},{""company"":""Walgreens Co."",""frequency"":2},{""company"":""Hertz Global Holdings Inc."",""frequency"":1},{""company"":""Peets Coffee"",""frequency"":1},{""company"":""Kohl's"",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":3},{""company"":""Walmart"",""frequency"":4},{""company"":""Staples"",""frequency"":1},{""company"":""BJs Wholesale Club"",""frequency"":4}]"
"621b99245f87e75f53659bd0","[{""company"":""Sephora"",""frequency"":4},{""company"":""Panera Bread"",""frequency"":1},{""company"":""AT&T"",""frequency"":26},{""company"":""Rite Aid"",""frequency"":1},{""company"":""Hertz Global Holdings Inc."",""frequency"":1},{""company"":""MOON JUICE"",""frequency"":17},{""company"":""Walmart"",""frequency"":2},{""company"":""CVS Pharmacy"",""frequency"":14},{""company"":""Marks & Spencer plc"",""frequency"":1},{""company"":""Staples"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":2}]"
"621b99245f87e75f53659be0","[{""company"":""Nike"",""frequency"":1},{""company"":""GrubHub"",""frequency"":4},{""company"":""Eileen Fisher"",""frequency"":1},{""company"":""Macy's Inc."",""frequency"":5},{""company"":""Smile Brilliant"",""frequency"":3},{""company"":""American Eagle Outfitters"",""frequency"":2},{""company"":""Adidas"",""frequency"":1},{""company"":""Nordstrom"",""frequency"":3},{""company"":""Meta"",""frequency"":2},{""company"":""Sephora"",""frequency"":1},{""company"":""Earth Breeze"",""frequency"":1},{""company"":""The Gap"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":7},{""company"":""Sheets & Giggles"",""frequency"":1},{""company"":""Costco"",""frequency"":4}]"
"621b99245f87e75f53659be4","[{""company"":""Old Navy"",""frequency"":2},{""company"":""Food Lion"",""frequency"":13},{""company"":""Macy's Inc."",""frequency"":1},{""company"":""Hertz Global Holdings Inc."",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":7},{""company"":""Walmart"",""frequency"":3},{""company"":""Madewell"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":3}]"
"621b99245f87e75f53659be8","[{""company"":""Walmart"",""frequency"":13},{""company"":""Humble Bundle"",""frequency"":1},{""company"":""Kohl's"",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":1},{""company"":""Panera Bread"",""frequency"":2},{""company"":""Orbitz"",""frequency"":2},{""company"":""Old Navy"",""frequency"":1}]"
"621b99245f87e75f53659bf4","[{""company"":""Dick's Sporting Goods"",""frequency"":1},{""company"":""AT&T"",""frequency"":15},{""company"":""The Gap"",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":22},{""company"":""COS"",""frequency"":1},{""company"":""Fresh Direct"",""frequency"":75},{""company"":""Fresh"",""frequency"":1},{""company"":""Hertz Global Holdings Inc."",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":1}]"
"621b99245f87e75f53659c0c","[{""company"":""Nordstrom"",""frequency"":7},{""company"":""Levi's"",""frequency"":1},{""company"":""Dick's Sporting Goods"",""frequency"":2},{""company"":""Nespresso"",""frequency"":3},{""company"":""Best Buy"",""frequency"":2},{""company"":""West Elm"",""frequency"":3},{""company"":""AT&T"",""frequency"":1},{""company"":""Janie & Jack"",""frequency"":2},{""company"":""Hertz Global Holdings Inc."",""frequency"":6},{""company"":""CVS Pharmacy"",""frequency"":43},{""company"":""Walmart"",""frequency"":5},{""company"":""Vans"",""frequency"":2},{""company"":""Walgreens Co."",""frequency"":2},{""company"":""Southwest Airlines Co."",""frequency"":1}]"
"621b99245f87e75f53659c20","[{""company"":""Panera Bread"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":2},{""company"":""Walmart"",""frequency"":3}]"
"621b99245f87e75f53659c40","[{""company"":""CVS Pharmacy"",""frequency"":1},{""company"":""GrubHub"",""frequency"":15}]"
"621b99255f87e75f53659c74","[{""company"":""Walgreens Co."",""frequency"":1},{""company"":""JustAnswer"",""frequency"":1},{""company"":""Best Buy"",""frequency"":3},{""company"":""Famous Footwear"",""frequency"":2},{""company"":""Panera Bread"",""frequency"":1},{""company"":""Groupon Inc."",""frequency"":1},{""company"":""Walmart"",""frequency"":62},{""company"":""CVS Pharmacy"",""frequency"":18},{""company"":""Kohl's"",""frequency"":1},{""company"":""Nordstrom"",""frequency"":1},{""company"":""Sephora"",""frequency"":1},{""company"":""Lands End"",""frequency"":3}]"
