companyId,companyName,dataSourceId,dataSourceName,action,expiration,value,isPrimary,primaryReplacementDataSourceId
621b99d95f87e75f536604f9,Scania,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b99d95f87e75f536604fd,Ducati,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b99d95f87e75f53660501,Nivea,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99d95f87e75f53660505,EUCERIN,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99d95f87e75f53660509,LABELLO,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99d95f87e75f5366050d,COPPERTONE,629bd91f27ab53e0fa4e598a,A List CDP - Water Security,UPDATE,,,TRUE,
621b99da5f87e75f5366053d,WILD TURKEY,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b99da5f87e75f53660541,WOODFORD RESERVE,629bd91f27ab53e0fa4e598d,A List CDP - Forests,UPDATE,,,TRUE,
621b99db5f87e75f536605a9,Full Pro,629bd91f27ab53e0fa4e5990,Green Seal,UPDATE,,,TRUE,
621b99dc5f87e75f5366067d,tricore,629bd91f27ab53e0fa4e5990,Green Seal,UPDATE,,,TRUE,
621b99dc5f87e75f53660681,Biosolve,629bd91f27ab53e0fa4e5990,Green Seal,UPDATE,,,TRUE,
621b99dd5f87e75f53660751,Butterball,629bd92327ab53e0fa4e5ac5,justCapital_metric_Work-Life Balance,UPDATE,,,TRUE,
621b99e65f87e75f53660c25,Brawny,629bd91f27ab53e0fa4e5990,Green Seal,UPDATE,,,TRUE,
621b99e65f87e75f53660c29,Quilted northern,629bd91f27ab53e0fa4e5990,Green Seal,UPDATE,,,TRUE,
621b99e65f87e75f53660c9d,Quik Tank,629bd91f27ab53e0fa4e5990,Green Seal,UPDATE,,,TRUE,
